month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
3,1,0,2,THEFT,0,0,1523,2012
12,3,14,1,CRIMINAL DAMAGE,0,0,1822,2012
6,2,20,2,THEFT,0,0,1823,2012
4,1,9,0,THEFT,0,0,1034,2012
12,3,11,0,BATTERY,0,1,1132,2012
3,1,3,2,BATTERY,0,0,1014,2012
9,0,16,1,THEFT,0,0,2431,2012
7,2,23,2,BATTERY,0,1,2431,2012
5,1,9,0,THEFT,0,0,2515,2012
6,2,13,1,BATTERY,0,0,1011,2012
4,1,16,1,THEFT,1,0,1921,2012
4,1,11,0,THEFT,1,0,735,2012
3,1,0,2,THEFT,0,0,1123,2012
3,1,6,0,CRIMINAL DAMAGE,0,0,133,2012
8,2,20,2,NARCOTICS,1,0,1113,2012
9,0,15,1,NARCOTICS,1,0,712,2012
10,0,18,2,CRIMINAL DAMAGE,0,1,1223,2012
4,1,19,2,CRIMINAL DAMAGE,0,0,715,2012
10,0,9,0,THEFT,0,0,1311,2012
2,3,21,2,CRIMINAL DAMAGE,0,0,1624,2012
7,2,13,1,THEFT,0,0,121,2012
9,0,12,1,NARCOTICS,1,0,1113,2012
7,2,15,1,BATTERY,0,0,931,2012
6,2,19,2,NARCOTICS,1,0,2533,2012
10,0,11,0,BATTERY,1,0,933,2012
2,3,6,0,BATTERY,0,1,511,2012
7,2,6,0,THEFT,0,0,1731,2012
3,1,10,0,NARCOTICS,1,0,2531,2012
11,0,20,2,THEFT,0,0,1434,2012
7,2,15,1,THEFT,0,0,2515,2012
5,1,12,1,BATTERY,0,0,1523,2012
6,2,11,0,CRIMINAL DAMAGE,0,0,1121,2012
7,2,4,2,THEFT,0,0,1831,2012
2,3,22,2,THEFT,0,0,2412,2012
5,1,15,1,BATTERY,0,0,1122,2012
3,1,17,1,THEFT,0,0,925,2012
4,1,16,1,THEFT,1,0,432,2012
1,3,5,2,CRIMINAL DAMAGE,0,0,813,2012
9,0,22,2,THEFT,0,0,815,2012
2,3,18,2,CRIMINAL DAMAGE,1,0,2534,2012
10,0,18,2,THEFT,0,0,731,2012
1,3,14,1,CRIMINAL DAMAGE,0,0,913,2012
5,1,13,1,NARCOTICS,1,0,932,2012
12,3,17,1,BATTERY,1,0,522,2012
10,0,5,2,BATTERY,0,1,1531,2012
7,2,17,1,THEFT,0,0,1824,2012
7,2,15,1,NARCOTICS,1,0,1533,2012
6,2,13,1,NARCOTICS,1,0,713,2012
7,2,19,2,NARCOTICS,1,0,1011,2012
8,2,16,1,CRIMINAL DAMAGE,0,0,1033,2012
7,2,3,2,THEFT,0,0,1831,2012
11,0,8,0,BATTERY,0,0,131,2012
11,0,6,0,CRIMINAL DAMAGE,0,1,712,2012
4,1,18,2,CRIMINAL DAMAGE,0,0,821,2012
7,2,7,0,CRIMINAL DAMAGE,0,0,735,2012
4,1,19,2,NARCOTICS,1,0,1012,2012
4,1,7,0,THEFT,0,0,1732,2012
1,3,22,2,CRIMINAL DAMAGE,0,0,824,2012
5,1,10,0,CRIMINAL DAMAGE,0,1,2232,2012
5,1,11,0,CRIMINAL DAMAGE,0,0,1011,2012
10,0,0,2,CRIMINAL DAMAGE,0,0,1935,2012
5,1,15,1,THEFT,0,0,1912,2012
9,0,13,1,THEFT,0,0,2432,2012
12,3,20,2,NARCOTICS,1,0,621,2012
3,1,8,0,NARCOTICS,1,0,2032,2012
2,3,10,0,CRIMINAL DAMAGE,0,0,424,2012
11,0,12,1,NARCOTICS,1,0,2532,2012
10,0,23,2,THEFT,0,0,1935,2012
10,0,18,2,THEFT,0,0,1931,2012
11,0,23,2,THEFT,0,0,1824,2012
4,1,14,1,NARCOTICS,1,0,114,2012
8,2,12,1,BATTERY,0,0,933,2012
10,0,13,1,BATTERY,0,0,2212,2012
10,0,19,2,THEFT,0,0,2532,2012
4,1,2,2,NARCOTICS,1,0,2433,2012
7,2,10,0,THEFT,0,0,432,2012
2,3,0,2,NARCOTICS,1,0,1013,2012
11,0,21,2,BATTERY,0,0,932,2012
2,3,14,1,THEFT,0,0,1832,2012
12,3,16,1,BATTERY,0,1,331,2012
3,1,23,2,CRIMINAL DAMAGE,0,1,614,2012
9,0,10,0,BATTERY,1,1,411,2012
12,3,0,2,THEFT,0,0,434,2012
4,1,6,0,THEFT,0,0,1431,2012
5,1,14,1,BATTERY,0,0,611,2012
7,2,16,1,THEFT,0,0,2524,2012
6,2,0,2,CRIMINAL DAMAGE,0,0,512,2012
8,2,14,1,BATTERY,0,0,2515,2012
4,1,13,1,BATTERY,0,0,811,2012
9,0,17,1,BATTERY,0,0,423,2012
5,1,15,1,THEFT,0,0,1731,2012
7,2,15,1,BATTERY,0,0,621,2012
7,2,23,2,BATTERY,1,1,624,2012
7,2,13,1,THEFT,0,0,432,2012
2,3,11,0,BATTERY,1,0,1523,2012
5,1,0,2,CRIMINAL DAMAGE,0,0,2525,2012
8,2,15,1,BATTERY,0,0,1112,2012
3,1,3,2,THEFT,0,1,513,2012
6,2,9,0,BATTERY,0,1,423,2012
2,3,2,2,CRIMINAL DAMAGE,0,0,815,2012
11,0,9,0,CRIMINAL DAMAGE,0,0,631,2012
10,0,21,2,THEFT,0,0,1724,2012
12,3,17,1,THEFT,0,0,123,2012
3,1,20,2,BATTERY,0,0,1023,2012
2,3,4,2,BATTERY,0,1,1814,2012
11,0,18,2,BATTERY,0,0,1022,2012
11,0,0,2,BATTERY,1,1,611,2012
11,0,19,2,THEFT,0,0,614,2012
6,2,7,0,THEFT,0,0,2525,2012
3,1,0,2,THEFT,0,0,1933,2012
7,2,19,2,BATTERY,0,0,511,2012
11,0,11,0,THEFT,0,0,831,2012
7,2,10,0,BATTERY,0,1,2522,2012
4,1,1,2,BATTERY,1,1,1732,2012
4,1,8,0,CRIMINAL DAMAGE,0,0,1634,2012
7,2,15,1,NARCOTICS,1,0,1122,2012
10,0,14,1,THEFT,0,0,1322,2012
11,0,14,1,THEFT,1,0,111,2012
11,0,15,1,CRIMINAL DAMAGE,0,0,2413,2012
2,3,21,2,THEFT,0,0,333,2012
7,2,16,1,NARCOTICS,1,0,613,2012
7,2,8,0,THEFT,0,0,1223,2012
8,2,14,1,BATTERY,0,0,522,2012
9,0,19,2,CRIMINAL DAMAGE,0,0,2011,2012
10,0,12,1,THEFT,0,0,1533,2012
6,2,20,2,BATTERY,0,0,2011,2012
9,0,23,2,THEFT,1,0,912,2012
6,2,12,1,THEFT,0,0,2223,2012
3,1,3,2,THEFT,0,0,634,2012
5,1,23,2,CRIMINAL DAMAGE,0,0,1412,2012
7,2,22,2,NARCOTICS,1,0,1732,2012
1,3,2,2,CRIMINAL DAMAGE,1,0,1723,2012
7,2,22,2,THEFT,0,0,934,2012
10,0,9,0,THEFT,0,0,1922,2012
8,2,2,2,THEFT,0,0,634,2012
9,0,14,1,THEFT,0,0,2412,2012
11,0,22,2,BATTERY,0,1,634,2012
3,1,13,1,CRIMINAL DAMAGE,0,0,2532,2012
12,3,17,1,THEFT,1,0,622,2012
5,1,2,2,BATTERY,0,0,1933,2012
3,1,20,2,NARCOTICS,1,0,824,2012
4,1,10,0,CRIMINAL DAMAGE,0,0,612,2012
8,2,3,2,THEFT,1,0,113,2012
4,1,20,2,THEFT,0,0,2024,2012
9,0,21,2,THEFT,1,0,912,2012
10,0,2,2,BATTERY,0,0,1125,2012
3,1,21,2,BATTERY,0,1,1222,2012
8,2,8,0,THEFT,0,0,2233,2012
1,3,22,2,NARCOTICS,1,0,825,2012
3,1,13,1,NARCOTICS,1,0,1134,2012
4,1,21,2,CRIMINAL DAMAGE,1,1,624,2012
1,3,23,2,THEFT,0,0,2233,2012
